Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
24-ABR-2012,1.6,2.6,1.3,2.6,1.7,2.1,1.1,1.2,1.8,2.4,2.2,2.3,2.2,3.3,3.8,2.7,1.9,4.2,2.1,2.6,1.7,0.9,1.5,2.3
25-ABR-2012,2.4,1.0,0.8,1.7,1.4,1.8,1.5,2.1,1.6,1.5,2.3,1.4,3.1,2.4,2.5,2.1,2.9,2.2,2.3,2.9,2.3,1.8,0.8,2.0
26-ABR-2012,2.1,2.6,3.0,1.2,2.0,1.4,1.0,1.6,1.7,1.7,2.6,2.4,2.7,2.9,2.9,3.9,3.4,2.5,2.8,3.1,1.8,1.8,1.1,2.0
27-ABR-2012,3.1,2.7,2.1,2.0,2.3,1.7,1.8,1.2,0.8,0.9,2.8,3.0,3.4,2.1,2.8,2.7,2.2,2.5,3.1,2.9,3.2,1.7,0.8,1.6
28-ABR-2012,1.2,2.6,2.1,1.2,1.2,0.8,0.9,1.5,1.8,1.6,1.9,1.8,2.1,2.0,2.5,2.1,3.5,3.7,2.4,1.8,2.1,0.3,1.8,1.6
29-ABR-2012,0.6,1.0,1.7,1.2,1.0,1.2,1.4,0.8,1.5,1.3,1.5,2.0,2.0,3.9,2.5,2.2,3.0,3.9,2.6,2.2,2.9,1.2,0.5,1.0
30-ABR-2012,1.7,2.0,2.0,2.6,3.3,1.5,1.2,0.9,1.6,1.6,2.3,2.2,1.5,3.1,2.8,2.4,2.3,1.4,3.3,1.8,1.3,0.8,1.9,4.4
01-MAI-2012,1.1,1.4,1.2,1.1,1.6,1.6,1.3,0.9,1.7,2.5,2.8,3.3,2.4,2.9,2.1,1.0,1.7,3.5,1.7,2.6,1.4,0.7,0.3,1.9
02-MAI-2012,0.5,1.8,1.7,4.8,5.9,1.9,2.1,1.6,1.9,1.7,1.2,1.8,2.0,2.8,3.4,3.0,3.7,4.2,3.0,4.5,3.8,2.5,1.8,3.7
03-MAI-2012,4.0,3.4,3.8,2.7,2.4,2.3,2.6,1.6,1.9,1.7,3.8,3.0,5.5,4.9,4.8,4.5,4.3,3.6,2.7,4.8,4.6,2.2,3.3,2.4
04-MAI-2012,5.7,6.0,3.9,4.3,3.5,3.4,3.6,3.4,2.1,2.2,2.4,3.2,4.4,5.4,5.3,3.2,3.8,3.3,3.4,3.6,2.5,2.0,0.9,1.3
05-MAI-2012,1.4,2.9,1.4,1.2,1.9,1.4,2.1,1.4,2.5,2.8,3.8,6.5,6.2,5.5,3.8,3.5,3.5,3.8,3.8,4.6,3.9,3.1,2.2,1.7
