"","Date","Hour","WindSpeed"
"839",2012-02-04,22,3.1
"840",2012-02-04,23,3.1
"841",2012-02-05,0,4.8
"842",2012-02-05,1,6
"843",2012-02-05,2,3
"844",2012-02-05,3,1.8
"845",2012-02-05,4,3.1
"846",2012-02-05,5,3.1
"847",2012-02-05,6,2.6
"848",2012-02-05,7,3
"849",2012-02-05,8,2.4
"850",2012-02-05,9,2.7
"851",2012-02-05,10,3.8
"852",2012-02-05,11,2.5
"853",2012-02-05,12,4.6
"854",2012-02-05,13,4.7
"855",2012-02-05,14,4.7
"856",2012-02-05,15,5.2
"857",2012-02-05,16,4
"858",2012-02-05,17,4.7
"859",2012-02-05,18,5.7
"860",2012-02-05,19,4.5
"861",2012-02-05,20,4.6
"862",2012-02-05,21,3.6
"863",2012-02-05,22,3.2
"864",2012-02-05,23,3.5
"865",2012-02-06,0,5
"866",2012-02-06,1,4.1
"867",2012-02-06,2,3.8
"868",2012-02-06,3,3.2
"869",2012-02-06,4,3.7
"870",2012-02-06,5,1.9
"871",2012-02-06,6,2.4
"872",2012-02-06,7,2.6
"873",2012-02-06,8,1.5
"874",2012-02-06,9,1.8
"875",2012-02-06,10,3.3
"876",2012-02-06,11,3.8
"877",2012-02-06,12,3.6
"878",2012-02-06,13,3.9
"879",2012-02-06,14,3.5
"880",2012-02-06,15,3.7
